,GO_ID,GO_term,GO_term_count
1626,GO:0005515,protein binding,330
517,GO:0005886,plasma membrane,179
1974,GO:0005829,cytosol,141
1675,GO:0005634,nucleus,125
1872,GO:0005737,cytoplasm,120
2469,GO:0005654,nucleoplasm,102
417,GO:0016021,integral component of membrane,88
2237,GO:0005887,integral component of plasma membrane,82
256,GO:0046872,metal ion binding,67
2817,GO:0016020,membrane,67
1134,GO:0070062,extracellular exosome,59
119,GO:0042802,identical protein binding,58
339,GO:0005524,ATP binding,54
910,GO:0005576,extracellular region,48
3606,GO:0045944,positive regulation of transcription by RNA polymerase II,45
1272,GO:0005509,calcium ion binding,44
2546,GO:0007165,signal transduction,43
3531,GO:0006357,regulation of transcription by RNA polymerase II,41
3383,GO:0000785,chromatin,40
3234,GO:0007155,cell adhesion,40
1218,GO:0003723,RNA binding,37
3433,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",36
3398,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,36
729,GO:0005783,endoplasmic reticulum,32
4274,GO:0000122,negative regulation of transcription by RNA polymerase II,31
34,GO:0005739,mitochondrion,30
971,GO:0005615,extracellular space,30
755,GO:0005794,Golgi apparatus,30
1054,GO:0008270,zinc ion binding,29
789,GO:0009986,cell surface,29
3319,GO:0003677,DNA binding,28
2339,GO:0007186,G protein-coupled receptor signaling pathway,27
5433,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,27
4475,GO:0045202,synapse,27
181,GO:0043005,neuron projection,25
2591,GO:0008285,negative regulation of cell population proliferation,24
3119,GO:0007268,chemical synaptic transmission,24
2701,GO:0005789,endoplasmic reticulum membrane,24
3026,GO:0045893,"positive regulation of transcription, DNA-templated",24
5523,GO:0098978,glutamatergic synapse,23
2978,GO:0035556,intracellular signal transduction,23
3812,GO:0030425,dendrite,23
4771,GO:0006468,protein phosphorylation,22
3135,GO:0007399,nervous system development,22
4935,GO:0016032,viral process,22
3664,GO:1990837,sequence-specific double-stranded DNA binding,22
3589,GO:0043066,negative regulation of apoptotic process,22
2136,GO:0042803,protein homodimerization activity,22
4454,GO:0030424,axon,22
3847,GO:0043025,neuronal cell body,21
2184,GO:0048471,perinuclear region of cytoplasm,21
3682,GO:0016567,protein ubiquitination,21
5452,GO:0007275,multicellular organism development,20
4327,GO:0005102,signaling receptor binding,20
2105,GO:0032991,protein-containing complex,20
111,GO:0042493,response to drug,19
683,GO:0000139,Golgi membrane,19
5173,GO:0031267,small GTPase binding,19
3488,GO:0003700,DNA-binding transcription factor activity,19
2943,GO:0008284,positive regulation of cell population proliferation,19
5086,GO:0045892,"negative regulation of transcription, DNA-templated",19
3047,GO:0014069,postsynaptic density,19
3471,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",18
5574,GO:0045211,postsynaptic membrane,18
4316,GO:0003682,chromatin binding,18
5480,GO:0030154,cell differentiation,16
2054,GO:0015031,protein transport,16
2765,GO:0010628,positive regulation of gene expression,16
4136,GO:0019904,protein domain specific binding,16
3797,GO:0019899,enzyme binding,16
6280,GO:0005730,nucleolus,16
3341,GO:0006355,"regulation of transcription, DNA-templated",16
458,GO:0043231,intracellular membrane-bounded organelle,16
2910,GO:0007420,brain development,16
5144,GO:0005856,cytoskeleton,15
1075,GO:0009897,external side of plasma membrane,15
3757,GO:0006915,apoptotic process,15
2033,GO:0005925,focal adhesion,15
4173,GO:0034220,ion transmembrane transport,15
3272,GO:0005813,centrosome,14
4099,GO:0016323,basolateral plasma membrane,14
3999,GO:0016324,apical plasma membrane,14
3070,GO:0043197,dendritic spine,14
3602,GO:0044877,protein-containing complex binding,14
2638,GO:0043547,positive regulation of GTPase activity,14
2733,GO:0055114,oxidation-reduction process,14
5881,GO:0045296,cadherin binding,13
6637,GO:0005874,microtubule,13
4520,GO:0006955,immune response,13
5596,GO:0004674,protein serine/threonine kinase activity,13
4735,GO:0004842,ubiquitin-protein transferase activity,13
4576,GO:0062023,collagen-containing extracellular matrix,13
1,GO:0001666,response to hypoxia,13
680,GO:0043312,neutrophil degranulation,13
2619,GO:0005096,GTPase activator activity,13
1006,GO:0007283,spermatogenesis,13
2886,GO:0004930,G protein-coupled receptor activity,13
2198,GO:0051015,actin filament binding,13
61,GO:0007626,locomotory behavior,13
2918,GO:0008134,transcription factor binding,12
1182,GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding,12
4372,GO:0016607,nuclear speck,12
4129,GO:0019901,protein kinase binding,12
