,GeneID,GO_ID,gene-symbol,GO_term,gene-score
0,18,GO:0001666,ABAT,response to hypoxia,3.0
1,18,GO:0003867,ABAT,4-aminobutyrate transaminase activity,3.0
2,18,GO:0005739,ABAT,mitochondrion,3.0
5,18,GO:0005759,ABAT,mitochondrial matrix,3.0
6,18,GO:0007568,ABAT,aging,3.0
7,18,GO:0007620,ABAT,copulation,3.0
8,18,GO:0007626,ABAT,locomotory behavior,3.0
9,18,GO:0009448,ABAT,gamma-aminobutyric acid metabolic process,3.0
10,18,GO:0009449,ABAT,gamma-aminobutyric acid biosynthetic process,3.0
11,18,GO:0009450,ABAT,gamma-aminobutyric acid catabolic process,3.0
12,18,GO:0010039,ABAT,response to iron ion,3.0
13,18,GO:0014053,ABAT,negative regulation of gamma-aminobutyric acid secretion,3.0
14,18,GO:0021549,ABAT,cerebellum development,3.0
15,18,GO:0030170,ABAT,pyridoxal phosphate binding,3.0
17,18,GO:0031652,ABAT,positive regulation of heat generation,3.0
18,18,GO:0032024,ABAT,positive regulation of insulin secretion,3.0
19,18,GO:0032144,ABAT,4-aminobutyrate transaminase complex,3.0
20,18,GO:0032145,ABAT,succinate-semialdehyde dehydrogenase binding,3.0
21,18,GO:0033602,ABAT,negative regulation of dopamine secretion,3.0
22,18,GO:0034386,ABAT,4-aminobutyrate:2-oxoglutarate transaminase activity,3.0
23,18,GO:0035094,ABAT,response to nicotine,3.0
24,18,GO:0035640,ABAT,exploration behavior,3.0
25,18,GO:0042135,ABAT,neurotransmitter catabolic process,3.0
26,18,GO:0042493,ABAT,response to drug,3.0
27,18,GO:0042802,ABAT,identical protein binding,3.0
28,18,GO:0043005,ABAT,neuron projection,3.0
29,18,GO:0045471,ABAT,response to ethanol,3.0
30,18,GO:0045776,ABAT,negative regulation of blood pressure,3.0
31,18,GO:0045964,ABAT,positive regulation of dopamine metabolic process,3.0
32,18,GO:0046872,ABAT,metal ion binding,3.0
33,18,GO:0047298,ABAT,(S)-3-amino-2-methylpropionate transaminase activity,3.0
34,18,GO:0048148,ABAT,behavioral response to cocaine,3.0
